"","CV.RMSE","CV.AUC"
"X1",0.298862473691401,0.731190638278764
"X2",0.293574286283492,0.762009841585255
"X3",0.290782012195451,0.779640857341942
"X4",0.291391260846307,0.780755671310703
"X5",0.290660181296432,0.780424312385166
"LASSO",0.289712999084761,0.758354711675051
"rf_p",0.290150565840305,0.777198882999129
