Number.of.predictors,CV.RMSE,CV.AUC
5,0.29886247369140134,0.7311906382787641
12,0.293574286283492,0.762009841585255
30,0.2907820121954514,0.7796408573419418
72,0.2913912608463073,0.7807556713107026
85,0.2906601812964317,0.7804243123851661
70,0.28971299908476095,0.7583547116750506
