"","Number.of.predictors","CV.RMSE","CV.AUC","CV.threshold","CV.expected.Loss"
"Logit X1",5,0.298862473691401,0.731190638278764,0.101167660935908,2.11798415520816
"Logit X3",30,0.290782012195451,0.779640857341942,0.107526123732484,1.79732141985026
"Logit LASSO",70,0.289712999084761,0.758354711675051,0.106039893276359,2.14936108613833
"RF probability",35,0.290150565840305,0.777198882999129,0.128048621675284,1.70676921982939
