neighbourhood_cleansed,price
I Centro Storico,65
I Centro Storico,120
I Centro Storico,85
I Centro Storico,180
I Centro Storico,74
I Centro Storico,92
I Centro Storico,120
X Ostia/Acilia,50
I Centro Storico,52
XV Cassia/Flaminia,85
II Parioli/Nomentano,41
I Centro Storico,71
I Centro Storico,69
I Centro Storico,150
XIII Aurelia,70
I Centro Storico,310
IX Eur,35
I Centro Storico,100
I Centro Storico,79
I Centro Storico,93
I Centro Storico,92
V Prenestino/Centocelle,35
I Centro Storico,73
I Centro Storico,65
II Parioli/Nomentano,35
XII Monte Verde,90
I Centro Storico,120
VIII Appia Antica,75
I Centro Storico,210
I Centro Storico,100
XIII Aurelia,53
XIII Aurelia,173
XIV Monte Mario,85
VII San Giovanni/CinecittĂ ,100
VII San Giovanni/CinecittĂ ,83
I Centro Storico,53
I Centro Storico,65
XII Monte Verde,74
I Centro Storico,63
I Centro Storico,75
II Parioli/Nomentano,75
VII San Giovanni/CinecittĂ ,64
XIII Aurelia,70
IV Tiburtina,35
I Centro Storico,49
XIII Aurelia,62
V Prenestino/Centocelle,48
II Parioli/Nomentano,50
I Centro Storico,70
I Centro Storico,129
I Centro Storico,38
IV Tiburtina,100
I Centro Storico,85
IX Eur,35
XIV Monte Mario,60
I Centro Storico,120
I Centro Storico,36
I Centro Storico,100
I Centro Storico,100
VIII Appia Antica,110
I Centro Storico,135
I Centro Storico,180
I Centro Storico,55
I Centro Storico,57
I Centro Storico,57
I Centro Storico,89
I Centro Storico,220
I Centro Storico,130
XV Cassia/Flaminia,40
I Centro Storico,122
I Centro Storico,76
II Parioli/Nomentano,90
XI Arvalia/Portuense,99
XV Cassia/Flaminia,40
I Centro Storico,84
I Centro Storico,76
IX Eur,70
VII San Giovanni/CinecittĂ ,60
I Centro Storico,65
VII San Giovanni/CinecittĂ ,120
I Centro Storico,70
VII San Giovanni/CinecittĂ ,48
I Centro Storico,54
VII San Giovanni/CinecittĂ ,50
I Centro Storico,185
IV Tiburtina,334
I Centro Storico,79
I Centro Storico,55
I Centro Storico,80
I Centro Storico,80
XIII Aurelia,110
VIII Appia Antica,49
VIII Appia Antica,39
I Centro Storico,150
XIII Aurelia,70
I Centro Storico,80
I Centro Storico,101
V Prenestino/Centocelle,45
I Centro Storico,94
I Centro Storico,65
XII Monte Verde,60
V Prenestino/Centocelle,40
VII San Giovanni/CinecittĂ ,58
I Centro Storico,75
I Centro Storico,145
VII San Giovanni/CinecittĂ ,35
IV Tiburtina,45
I Centro Storico,35
II Parioli/Nomentano,39
I Centro Storico,37
V Prenestino/Centocelle,35
XIII Aurelia,71
XIV Monte Mario,80
VI Roma delle Torri,40
XIV Monte Mario,40
I Centro Storico,46
I Centro Storico,144
XI Arvalia/Portuense,100
XIII Aurelia,50
I Centro Storico,95
VII San Giovanni/CinecittĂ ,54
I Centro Storico,48
I Centro Storico,160
XII Monte Verde,140
I Centro Storico,57
XIII Aurelia,99
XIII Aurelia,199
VII San Giovanni/CinecittĂ ,50
I Centro Storico,100
II Parioli/Nomentano,51
IX Eur,50
I Centro Storico,80
I Centro Storico,62
XII Monte Verde,84
I Centro Storico,80
XIII Aurelia,55
II Parioli/Nomentano,50
I Centro Storico,109
VI Roma delle Torri,85
I Centro Storico,109
I Centro Storico,42
XII Monte Verde,97
XII Monte Verde,57
VIII Appia Antica,65
I Centro Storico,70
I Centro Storico,67
I Centro Storico,250
X Ostia/Acilia,90
XI Arvalia/Portuense,60
I Centro Storico,135
II Parioli/Nomentano,120
VII San Giovanni/CinecittĂ ,50
V Prenestino/Centocelle,46
VIII Appia Antica,58
IV Tiburtina,55
VIII Appia Antica,54
I Centro Storico,43
XII Monte Verde,65
I Centro Storico,240
I Centro Storico,37
X Ostia/Acilia,60
I Centro Storico,80
I Centro Storico,100
I Centro Storico,49
I Centro Storico,79
XIII Aurelia,99
I Centro Storico,87
VIII Appia Antica,33
I Centro Storico,55
I Centro Storico,145
II Parioli/Nomentano,80
I Centro Storico,140
I Centro Storico,113
I Centro Storico,56
II Parioli/Nomentano,30
I Centro Storico,139
III Monte Sacro,150
I Centro Storico,60
I Centro Storico,140
I Centro Storico,175
I Centro Storico,113
I Centro Storico,51
XII Monte Verde,125
I Centro Storico,88
I Centro Storico,73
I Centro Storico,75
IV Tiburtina,35
V Prenestino/Centocelle,95
IX Eur,50
I Centro Storico,95
I Centro Storico,180
I Centro Storico,54
II Parioli/Nomentano,65
I Centro Storico,37
I Centro Storico,187
XIV Monte Mario,45
IX Eur,310
V Prenestino/Centocelle,54
V Prenestino/Centocelle,54
I Centro Storico,98
III Monte Sacro,60
I Centro Storico,59
I Centro Storico,56
III Monte Sacro,40
II Parioli/Nomentano,161
I Centro Storico,60
VII San Giovanni/CinecittĂ ,85
XII Monte Verde,61
V Prenestino/Centocelle,49
I Centro Storico,62
VII San Giovanni/CinecittĂ ,60
XIII Aurelia,69
XII Monte Verde,120
I Centro Storico,50
I Centro Storico,149
XIV Monte Mario,110
I Centro Storico,85
I Centro Storico,75
VIII Appia Antica,61
I Centro Storico,102
IV Tiburtina,55
II Parioli/Nomentano,35
VII San Giovanni/CinecittĂ ,68
VII San Giovanni/CinecittĂ ,90
XIV Monte Mario,90
XIII Aurelia,65
I Centro Storico,67
I Centro Storico,93
I Centro Storico,118
XIII Aurelia,75
XIII Aurelia,90
II Parioli/Nomentano,32
XI Arvalia/Portuense,50
I Centro Storico,115
I Centro Storico,62
XII Monte Verde,80
VIII Appia Antica,50
II Parioli/Nomentano,55
XIII Aurelia,62
I Centro Storico,66
I Centro Storico,135
II Parioli/Nomentano,29
V Prenestino/Centocelle,26
I Centro Storico,121
VII San Giovanni/CinecittĂ ,49
VII San Giovanni/CinecittĂ ,59
I Centro Storico,155
I Centro Storico,120
VI Roma delle Torri,75
II Parioli/Nomentano,30
IX Eur,50
I Centro Storico,183
I Centro Storico,138
I Centro Storico,92
VII San Giovanni/CinecittĂ ,60
I Centro Storico,229
I Centro Storico,106
V Prenestino/Centocelle,27
VII San Giovanni/CinecittĂ ,75
I Centro Storico,90
I Centro Storico,133
VII San Giovanni/CinecittĂ ,49
XV Cassia/Flaminia,20
VII San Giovanni/CinecittĂ ,45
VII San Giovanni/CinecittĂ ,45
I Centro Storico,136
VII San Giovanni/CinecittĂ ,70
II Parioli/Nomentano,35
I Centro Storico,350
VII San Giovanni/CinecittĂ ,96
XIII Aurelia,64
I Centro Storico,75
I Centro Storico,121
XIII Aurelia,58
I Centro Storico,121
VIII Appia Antica,39
IV Tiburtina,100
XIII Aurelia,89
I Centro Storico,80
IV Tiburtina,31
I Centro Storico,39
XIII Aurelia,66
XIII Aurelia,150
I Centro Storico,240
VIII Appia Antica,76
VIII Appia Antica,90
V Prenestino/Centocelle,42
I Centro Storico,76
I Centro Storico,173
V Prenestino/Centocelle,40
I Centro Storico,69
III Monte Sacro,94
I Centro Storico,73
I Centro Storico,63
I Centro Storico,78
I Centro Storico,83
XIV Monte Mario,25
XIII Aurelia,50
XII Monte Verde,100
XII Monte Verde,90
VII San Giovanni/CinecittĂ ,64
X Ostia/Acilia,60
VII San Giovanni/CinecittĂ ,83
I Centro Storico,155
VI Roma delle Torri,39
XIII Aurelia,45
XI Arvalia/Portuense,65
I Centro Storico,334
I Centro Storico,161
I Centro Storico,110
III Monte Sacro,30
I Centro Storico,118
XI Arvalia/Portuense,70
VIII Appia Antica,75
V Prenestino/Centocelle,50
VIII Appia Antica,55
I Centro Storico,80
VII San Giovanni/CinecittĂ ,78
I Centro Storico,290
VII San Giovanni/CinecittĂ ,60
I Centro Storico,75
IX Eur,80
V Prenestino/Centocelle,51
I Centro Storico,130
IV Tiburtina,18
II Parioli/Nomentano,250
II Parioli/Nomentano,250
II Parioli/Nomentano,250
I Centro Storico,190
X Ostia/Acilia,80
I Centro Storico,300
XIII Aurelia,75
VII San Giovanni/CinecittĂ ,48
V Prenestino/Centocelle,20
XII Monte Verde,60
X Ostia/Acilia,69
XI Arvalia/Portuense,60
XV Cassia/Flaminia,75
XIII Aurelia,271
VII San Giovanni/CinecittĂ ,63
I Centro Storico,108
I Centro Storico,53
I Centro Storico,100
VII San Giovanni/CinecittĂ ,60
XIII Aurelia,59
I Centro Storico,200
VII San Giovanni/CinecittĂ ,59
I Centro Storico,49
I Centro Storico,120
I Centro Storico,90
I Centro Storico,110
II Parioli/Nomentano,37
I Centro Storico,90
I Centro Storico,70
XI Arvalia/Portuense,39
VII San Giovanni/CinecittĂ ,40
XIII Aurelia,80
II Parioli/Nomentano,45
I Centro Storico,75
I Centro Storico,379
XI Arvalia/Portuense,25
VIII Appia Antica,70
XIV Monte Mario,41
I Centro Storico,96
I Centro Storico,109
VII San Giovanni/CinecittĂ ,20
VII San Giovanni/CinecittĂ ,59
VII San Giovanni/CinecittĂ ,40
I Centro Storico,60
I Centro Storico,120
VII San Giovanni/CinecittĂ ,130
I Centro Storico,40
VII San Giovanni/CinecittĂ ,40
I Centro Storico,39
XIII Aurelia,96
I Centro Storico,63
I Centro Storico,185
VIII Appia Antica,100
III Monte Sacro,30
X Ostia/Acilia,35
I Centro Storico,80
II Parioli/Nomentano,110
I Centro Storico,90
II Parioli/Nomentano,115
I Centro Storico,120
III Monte Sacro,39
VII San Giovanni/CinecittĂ ,44
I Centro Storico,85
VII San Giovanni/CinecittĂ ,59
XI Arvalia/Portuense,65
XV Cassia/Flaminia,49
I Centro Storico,57
I Centro Storico,229
I Centro Storico,51
XII Monte Verde,17
XIII Aurelia,39
I Centro Storico,139
I Centro Storico,53
I Centro Storico,86
I Centro Storico,95
V Prenestino/Centocelle,52
I Centro Storico,112
XII Monte Verde,59
I Centro Storico,120
XIV Monte Mario,135
XIV Monte Mario,55
II Parioli/Nomentano,29
XII Monte Verde,65
I Centro Storico,90
XIV Monte Mario,80
I Centro Storico,235
V Prenestino/Centocelle,40
XII Monte Verde,85
XIV Monte Mario,36
V Prenestino/Centocelle,60
I Centro Storico,54
I Centro Storico,184
VII San Giovanni/CinecittĂ ,60
VII San Giovanni/CinecittĂ ,43
XIII Aurelia,63
I Centro Storico,70
I Centro Storico,62
VII San Giovanni/CinecittĂ ,44
VIII Appia Antica,55
VIII Appia Antica,46
IX Eur,35
I Centro Storico,59
I Centro Storico,76
I Centro Storico,115
I Centro Storico,123
I Centro Storico,55
I Centro Storico,60
I Centro Storico,60
I Centro Storico,39
VIII Appia Antica,150
IX Eur,40
I Centro Storico,99
I Centro Storico,103
I Centro Storico,69
XIII Aurelia,74
I Centro Storico,115
I Centro Storico,107
VII San Giovanni/CinecittĂ ,60
XIII Aurelia,84
I Centro Storico,90
I Centro Storico,45
XI Arvalia/Portuense,60
III Monte Sacro,49
I Centro Storico,98
IV Tiburtina,48
XII Monte Verde,45
I Centro Storico,58
V Prenestino/Centocelle,39
I Centro Storico,70
IV Tiburtina,150
XII Monte Verde,54
II Parioli/Nomentano,95
XIV Monte Mario,55
IV Tiburtina,391
VIII Appia Antica,75
II Parioli/Nomentano,130
XI Arvalia/Portuense,24
XIII Aurelia,95
I Centro Storico,69
VIII Appia Antica,70
X Ostia/Acilia,90
XIII Aurelia,63
II Parioli/Nomentano,126
I Centro Storico,111
I Centro Storico,84
VII San Giovanni/CinecittĂ ,70
I Centro Storico,72
I Centro Storico,120
XI Arvalia/Portuense,56
I Centro Storico,90
VII San Giovanni/CinecittĂ ,53
I Centro Storico,77
XII Monte Verde,70
V Prenestino/Centocelle,60
I Centro Storico,80
VII San Giovanni/CinecittĂ ,56
I Centro Storico,65
I Centro Storico,95
XI Arvalia/Portuense,48
I Centro Storico,70
II Parioli/Nomentano,80
XI Arvalia/Portuense,70
II Parioli/Nomentano,100
I Centro Storico,162
I Centro Storico,60
XV Cassia/Flaminia,180
I Centro Storico,90
I Centro Storico,82
XV Cassia/Flaminia,30
IV Tiburtina,42
I Centro Storico,120
I Centro Storico,150
I Centro Storico,117
I Centro Storico,86
I Centro Storico,90
I Centro Storico,90
VII San Giovanni/CinecittĂ ,63
VII San Giovanni/CinecittĂ ,66
VII San Giovanni/CinecittĂ ,61
II Parioli/Nomentano,80
IV Tiburtina,45
XIII Aurelia,79
II Parioli/Nomentano,60
I Centro Storico,80
XV Cassia/Flaminia,40
XIII Aurelia,80
II Parioli/Nomentano,45
XIII Aurelia,64
IX Eur,60
IV Tiburtina,50
XIII Aurelia,80
I Centro Storico,60
I Centro Storico,100
I Centro Storico,48
XI Arvalia/Portuense,70
II Parioli/Nomentano,54
I Centro Storico,120
I Centro Storico,150
XIII Aurelia,49
I Centro Storico,50
I Centro Storico,69
II Parioli/Nomentano,190
XIII Aurelia,45
I Centro Storico,90
XII Monte Verde,109
I Centro Storico,98
II Parioli/Nomentano,110
I Centro Storico,119
I Centro Storico,90
I Centro Storico,175
V Prenestino/Centocelle,57
I Centro Storico,114
II Parioli/Nomentano,50
I Centro Storico,101
II Parioli/Nomentano,65
I Centro Storico,96
I Centro Storico,65
X Ostia/Acilia,35
VII San Giovanni/CinecittĂ ,131
XV Cassia/Flaminia,90
I Centro Storico,79
I Centro Storico,59
I Centro Storico,53
I Centro Storico,87
I Centro Storico,100
XII Monte Verde,48
I Centro Storico,57
IV Tiburtina,29
VIII Appia Antica,53
V Prenestino/Centocelle,34
I Centro Storico,186
II Parioli/Nomentano,59
I Centro Storico,100
VI Roma delle Torri,57
IV Tiburtina,80
IV Tiburtina,36
XII Monte Verde,57
XIV Monte Mario,41
I Centro Storico,140
I Centro Storico,68
I Centro Storico,104
I Centro Storico,95
X Ostia/Acilia,59
II Parioli/Nomentano,45
I Centro Storico,110
I Centro Storico,98
II Parioli/Nomentano,110
I Centro Storico,49
X Ostia/Acilia,86
I Centro Storico,80
I Centro Storico,111
XIII Aurelia,85
II Parioli/Nomentano,104
V Prenestino/Centocelle,180
I Centro Storico,66
VIII Appia Antica,60
I Centro Storico,110
XII Monte Verde,75
XIII Aurelia,179
II Parioli/Nomentano,76
I Centro Storico,60
I Centro Storico,120
I Centro Storico,250
II Parioli/Nomentano,95
XIII Aurelia,85
XI Arvalia/Portuense,49
XII Monte Verde,47
I Centro Storico,69
I Centro Storico,90
I Centro Storico,84
I Centro Storico,207
XIV Monte Mario,70
I Centro Storico,69
VII San Giovanni/CinecittĂ ,83
I Centro Storico,55
I Centro Storico,104
I Centro Storico,50
I Centro Storico,300
II Parioli/Nomentano,70
VII San Giovanni/CinecittĂ ,62
VII San Giovanni/CinecittĂ ,51
VII San Giovanni/CinecittĂ ,32
I Centro Storico,100
I Centro Storico,65
I Centro Storico,100
I Centro Storico,45
I Centro Storico,65
V Prenestino/Centocelle,21
XIII Aurelia,53
XII Monte Verde,38
XI Arvalia/Portuense,29
I Centro Storico,79
VII San Giovanni/CinecittĂ ,107
I Centro Storico,50
IV Tiburtina,40
I Centro Storico,150
I Centro Storico,81
I Centro Storico,125
I Centro Storico,140
I Centro Storico,90
I Centro Storico,87
XIV Monte Mario,129
XI Arvalia/Portuense,69
VII San Giovanni/CinecittĂ ,38
I Centro Storico,220
V Prenestino/Centocelle,42
I Centro Storico,103
I Centro Storico,57
XII Monte Verde,60
VIII Appia Antica,43
V Prenestino/Centocelle,54
I Centro Storico,76
I Centro Storico,77
I Centro Storico,160
I Centro Storico,75
X Ostia/Acilia,29
I Centro Storico,76
I Centro Storico,113
I Centro Storico,74
I Centro Storico,324
I Centro Storico,59
II Parioli/Nomentano,83
XIV Monte Mario,100
VI Roma delle Torri,50
I Centro Storico,85
XIV Monte Mario,70
I Centro Storico,50
IV Tiburtina,66
I Centro Storico,70
I Centro Storico,66
I Centro Storico,89
I Centro Storico,100
VIII Appia Antica,70
XIV Monte Mario,270
I Centro Storico,170
I Centro Storico,112
I Centro Storico,112
I Centro Storico,106
VIII Appia Antica,70
XIII Aurelia,299
I Centro Storico,66
VII San Giovanni/CinecittĂ ,90
I Centro Storico,70
II Parioli/Nomentano,95
I Centro Storico,78
XII Monte Verde,59
I Centro Storico,38
I Centro Storico,90
XI Arvalia/Portuense,33
I Centro Storico,55
I Centro Storico,95
I Centro Storico,130
II Parioli/Nomentano,74
X Ostia/Acilia,70
I Centro Storico,200
I Centro Storico,65
XIV Monte Mario,40
I Centro Storico,145
I Centro Storico,60
I Centro Storico,52
X Ostia/Acilia,49
XII Monte Verde,214
V Prenestino/Centocelle,60
XIII Aurelia,45
I Centro Storico,53
I Centro Storico,151
I Centro Storico,250
I Centro Storico,80
I Centro Storico,129
XV Cassia/Flaminia,85
I Centro Storico,139
I Centro Storico,103
I Centro Storico,56
I Centro Storico,90
I Centro Storico,175
I Centro Storico,73
VII San Giovanni/CinecittĂ ,37
II Parioli/Nomentano,67
XIII Aurelia,104
XIII Aurelia,50
II Parioli/Nomentano,60
VII San Giovanni/CinecittĂ ,40
I Centro Storico,100
VII San Giovanni/CinecittĂ ,92
I Centro Storico,66
X Ostia/Acilia,350
I Centro Storico,59
I Centro Storico,110
I Centro Storico,199
I Centro Storico,65
I Centro Storico,120
V Prenestino/Centocelle,29
I Centro Storico,59
I Centro Storico,90
XIII Aurelia,67
VIII Appia Antica,35
XII Monte Verde,35
I Centro Storico,97
I Centro Storico,82
VII San Giovanni/CinecittĂ ,65
I Centro Storico,100
VII San Giovanni/CinecittĂ ,75
I Centro Storico,85
I Centro Storico,60
V Prenestino/Centocelle,81
XIII Aurelia,79
XIII Aurelia,85
I Centro Storico,50
XII Monte Verde,81
XII Monte Verde,155
I Centro Storico,142
I Centro Storico,135
I Centro Storico,139
III Monte Sacro,107
I Centro Storico,96
I Centro Storico,140
VII San Giovanni/CinecittĂ ,80
XII Monte Verde,58
II Parioli/Nomentano,90
II Parioli/Nomentano,90
I Centro Storico,56
I Centro Storico,86
XI Arvalia/Portuense,90
I Centro Storico,41
I Centro Storico,200
VIII Appia Antica,29
VII San Giovanni/CinecittĂ ,28
I Centro Storico,85
V Prenestino/Centocelle,120
II Parioli/Nomentano,60
III Monte Sacro,70
I Centro Storico,199
I Centro Storico,129
I Centro Storico,90
I Centro Storico,139
I Centro Storico,184
I Centro Storico,125
I Centro Storico,70
I Centro Storico,90
I Centro Storico,109
I Centro Storico,50
I Centro Storico,80
I Centro Storico,90
I Centro Storico,136
V Prenestino/Centocelle,60
XV Cassia/Flaminia,75
V Prenestino/Centocelle,45
V Prenestino/Centocelle,25
I Centro Storico,87
I Centro Storico,140
XII Monte Verde,55
X Ostia/Acilia,75
XIV Monte Mario,60
V Prenestino/Centocelle,70
VII San Giovanni/CinecittĂ ,45
I Centro Storico,110
XIII Aurelia,80
I Centro Storico,90
XIII Aurelia,79
II Parioli/Nomentano,95
II Parioli/Nomentano,95
II Parioli/Nomentano,95
XIV Monte Mario,50
I Centro Storico,74
I Centro Storico,50
II Parioli/Nomentano,52
I Centro Storico,107
I Centro Storico,50
I Centro Storico,302
VII San Giovanni/CinecittĂ ,122
I Centro Storico,65
I Centro Storico,46
I Centro Storico,41
I Centro Storico,220
I Centro Storico,65
II Parioli/Nomentano,55
I Centro Storico,105
XIII Aurelia,65
I Centro Storico,80
VII San Giovanni/CinecittĂ ,62
XV Cassia/Flaminia,30
I Centro Storico,74
I Centro Storico,41
I Centro Storico,69
III Monte Sacro,70
VII San Giovanni/CinecittĂ ,120
VII San Giovanni/CinecittĂ ,50
I Centro Storico,83
VIII Appia Antica,70
I Centro Storico,85
I Centro Storico,80
II Parioli/Nomentano,45
IV Tiburtina,30
I Centro Storico,51
III Monte Sacro,105
VII San Giovanni/CinecittĂ ,75
I Centro Storico,90
I Centro Storico,52
II Parioli/Nomentano,60
I Centro Storico,162
XV Cassia/Flaminia,70
I Centro Storico,201
I Centro Storico,115
XIV Monte Mario,25
I Centro Storico,65
XIV Monte Mario,35
I Centro Storico,290
I Centro Storico,65
II Parioli/Nomentano,33
I Centro Storico,90
I Centro Storico,40
I Centro Storico,139
XII Monte Verde,45
XII Monte Verde,60
I Centro Storico,70
V Prenestino/Centocelle,53
I Centro Storico,120
IX Eur,56
VI Roma delle Torri,30
VII San Giovanni/CinecittĂ ,39
III Monte Sacro,120
VII San Giovanni/CinecittĂ ,61
I Centro Storico,136
XII Monte Verde,100
I Centro Storico,198
VII San Giovanni/CinecittĂ ,55
VIII Appia Antica,25
I Centro Storico,53
I Centro Storico,58
VIII Appia Antica,65
VIII Appia Antica,65
VIII Appia Antica,75
I Centro Storico,100
I Centro Storico,120
I Centro Storico,181
I Centro Storico,95
II Parioli/Nomentano,66
I Centro Storico,110
I Centro Storico,130
I Centro Storico,130
III Monte Sacro,58
I Centro Storico,71
I Centro Storico,79
II Parioli/Nomentano,70
XIII Aurelia,87
VII San Giovanni/CinecittĂ ,55
I Centro Storico,98
I Centro Storico,200
I Centro Storico,147
I Centro Storico,204
III Monte Sacro,52
I Centro Storico,89
I Centro Storico,155
I Centro Storico,139
V Prenestino/Centocelle,37
VII San Giovanni/CinecittĂ ,80
I Centro Storico,168
II Parioli/Nomentano,60
II Parioli/Nomentano,38
V Prenestino/Centocelle,24
I Centro Storico,44
I Centro Storico,120
II Parioli/Nomentano,38
VII San Giovanni/CinecittĂ ,65
I Centro Storico,75
I Centro Storico,79
X Ostia/Acilia,49
XI Arvalia/Portuense,30
II Parioli/Nomentano,70
I Centro Storico,116
I Centro Storico,63
I Centro Storico,58
II Parioli/Nomentano,35
I Centro Storico,96
XIII Aurelia,79
I Centro Storico,29
I Centro Storico,62
VII San Giovanni/CinecittĂ ,51
I Centro Storico,79
XIV Monte Mario,100
I Centro Storico,36
XI Arvalia/Portuense,49
I Centro Storico,120
VII San Giovanni/CinecittĂ ,39
I Centro Storico,112
VI Roma delle Torri,45
VI Roma delle Torri,40
V Prenestino/Centocelle,73
VII San Giovanni/CinecittĂ ,49
VII San Giovanni/CinecittĂ ,35
I Centro Storico,84
VII San Giovanni/CinecittĂ ,56
I Centro Storico,51
I Centro Storico,90
XIII Aurelia,60
I Centro Storico,170
I Centro Storico,70
I Centro Storico,230
II Parioli/Nomentano,34
I Centro Storico,77
V Prenestino/Centocelle,84
II Parioli/Nomentano,30
I Centro Storico,101
I Centro Storico,76
I Centro Storico,125
III Monte Sacro,60
I Centro Storico,62
I Centro Storico,330
X Ostia/Acilia,40
I Centro Storico,41
I Centro Storico,41
I Centro Storico,86
I Centro Storico,79
I Centro Storico,58
II Parioli/Nomentano,50
I Centro Storico,91
I Centro Storico,190
II Parioli/Nomentano,45
II Parioli/Nomentano,36
II Parioli/Nomentano,41
II Parioli/Nomentano,37
I Centro Storico,70
I Centro Storico,97
VII San Giovanni/CinecittĂ ,75
I Centro Storico,70
XII Monte Verde,62
VII San Giovanni/CinecittĂ ,60
I Centro Storico,80
XIII Aurelia,85
VIII Appia Antica,63
I Centro Storico,137
VII San Giovanni/CinecittĂ ,20
II Parioli/Nomentano,46
I Centro Storico,108
VII San Giovanni/CinecittĂ ,80
I Centro Storico,108
I Centro Storico,77
VIII Appia Antica,75
XII Monte Verde,45
I Centro Storico,60
I Centro Storico,77
I Centro Storico,52
VII San Giovanni/CinecittĂ ,33
I Centro Storico,55
XI Arvalia/Portuense,50
XII Monte Verde,80
I Centro Storico,90
VII San Giovanni/CinecittĂ ,80
I Centro Storico,78
I Centro Storico,18
XIII Aurelia,140
XIII Aurelia,50
XIV Monte Mario,50
XII Monte Verde,20
XII Monte Verde,25
I Centro Storico,18
I Centro Storico,18
I Centro Storico,130
XV Cassia/Flaminia,56
I Centro Storico,116
I Centro Storico,156
VIII Appia Antica,39
XIII Aurelia,62
I Centro Storico,58
I Centro Storico,59
I Centro Storico,67
VII San Giovanni/CinecittĂ ,65
I Centro Storico,92
III Monte Sacro,48
I Centro Storico,221
XIV Monte Mario,50
XIII Aurelia,41
I Centro Storico,108
VII San Giovanni/CinecittĂ ,75
I Centro Storico,70
I Centro Storico,83
I Centro Storico,60
II Parioli/Nomentano,63
I Centro Storico,71
VII San Giovanni/CinecittĂ ,40
I Centro Storico,109
I Centro Storico,109
VIII Appia Antica,35
VII San Giovanni/CinecittĂ ,55
I Centro Storico,58
XII Monte Verde,49
I Centro Storico,130
I Centro Storico,149
I Centro Storico,75
VI Roma delle Torri,70
IX Eur,75
XI Arvalia/Portuense,144
VII San Giovanni/CinecittĂ ,40
I Centro Storico,58
VII San Giovanni/CinecittĂ ,40
XIII Aurelia,65
II Parioli/Nomentano,80
XI Arvalia/Portuense,45
I Centro Storico,69
XIII Aurelia,37
IV Tiburtina,32
VIII Appia Antica,52
IV Tiburtina,40
VII San Giovanni/CinecittĂ ,33
I Centro Storico,79
I Centro Storico,120
I Centro Storico,61
XII Monte Verde,40
I Centro Storico,85
I Centro Storico,81
I Centro Storico,78
V Prenestino/Centocelle,45
II Parioli/Nomentano,61
VIII Appia Antica,65
I Centro Storico,34
XIV Monte Mario,35
V Prenestino/Centocelle,49
XIV Monte Mario,55
I Centro Storico,110
XIV Monte Mario,70
I Centro Storico,55
I Centro Storico,150
VII San Giovanni/CinecittĂ ,60
I Centro Storico,90
I Centro Storico,60
I Centro Storico,54
II Parioli/Nomentano,47
I Centro Storico,55
I Centro Storico,166
I Centro Storico,71
I Centro Storico,60
XI Arvalia/Portuense,60
I Centro Storico,66
I Centro Storico,87
V Prenestino/Centocelle,37
XIV Monte Mario,61
II Parioli/Nomentano,40
II Parioli/Nomentano,34
I Centro Storico,52
II Parioli/Nomentano,46
I Centro Storico,130
IX Eur,69
V Prenestino/Centocelle,15
III Monte Sacro,50
XII Monte Verde,80
I Centro Storico,50
I Centro Storico,101
XV Cassia/Flaminia,40
II Parioli/Nomentano,45
II Parioli/Nomentano,90
I Centro Storico,89
V Prenestino/Centocelle,40
XIII Aurelia,126
I Centro Storico,129
II Parioli/Nomentano,110
I Centro Storico,79
II Parioli/Nomentano,270
II Parioli/Nomentano,70
I Centro Storico,105
I Centro Storico,184
I Centro Storico,276
I Centro Storico,140
I Centro Storico,110
I Centro Storico,104
I Centro Storico,90
I Centro Storico,90
XIII Aurelia,50
I Centro Storico,75
I Centro Storico,73
I Centro Storico,70
V Prenestino/Centocelle,45
VII San Giovanni/CinecittĂ ,40
XIV Monte Mario,50
I Centro Storico,98
V Prenestino/Centocelle,65
V Prenestino/Centocelle,60
V Prenestino/Centocelle,40
I Centro Storico,89
I Centro Storico,50
V Prenestino/Centocelle,50
XII Monte Verde,45
I Centro Storico,57
I Centro Storico,83
IV Tiburtina,93
I Centro Storico,60
I Centro Storico,104
I Centro Storico,150
XII Monte Verde,70
I Centro Storico,191
VI Roma delle Torri,30
I Centro Storico,67
VII San Giovanni/CinecittĂ ,35
I Centro Storico,120
I Centro Storico,120
I Centro Storico,150
I Centro Storico,110
I Centro Storico,97
I Centro Storico,37
I Centro Storico,97
II Parioli/Nomentano,38
V Prenestino/Centocelle,56
I Centro Storico,40
I Centro Storico,250
I Centro Storico,141
IX Eur,55
VII San Giovanni/CinecittĂ ,70
I Centro Storico,100
I Centro Storico,42
VIII Appia Antica,68
I Centro Storico,33
VII San Giovanni/CinecittĂ ,67
XV Cassia/Flaminia,45
VIII Appia Antica,85
XIII Aurelia,59
I Centro Storico,70
VII San Giovanni/CinecittĂ ,60
V Prenestino/Centocelle,40
VIII Appia Antica,40
XIV Monte Mario,45
XV Cassia/Flaminia,40
I Centro Storico,139
XII Monte Verde,80
II Parioli/Nomentano,49
VIII Appia Antica,45
VIII Appia Antica,40
II Parioli/Nomentano,42
II Parioli/Nomentano,64
II Parioli/Nomentano,58
II Parioli/Nomentano,31
II Parioli/Nomentano,60
XIV Monte Mario,38
I Centro Storico,116
VII San Giovanni/CinecittĂ ,90
VII San Giovanni/CinecittĂ ,36
I Centro Storico,96
I Centro Storico,160
IV Tiburtina,70
VIII Appia Antica,58
I Centro Storico,117
VII San Giovanni/CinecittĂ ,110
VIII Appia Antica,49
I Centro Storico,53
