neighbourhood_cleansed,price
VII San Giovanni/CinecittĂ ,76
VIII Appia Antica,125
VII San Giovanni/CinecittĂ ,80
I Centro Storico,95
I Centro Storico,85
XII Monte Verde,65
I Centro Storico,60
II Parioli/Nomentano,79
XIII Aurelia,90
I Centro Storico,46
XII Monte Verde,35
I Centro Storico,85
II Parioli/Nomentano,47
I Centro Storico,282
IX Eur,85
VII San Giovanni/CinecittĂ ,45
I Centro Storico,96
II Parioli/Nomentano,60
IX Eur,85
I Centro Storico,96
I Centro Storico,91
I Centro Storico,108
I Centro Storico,70
I Centro Storico,127
I Centro Storico,80
II Parioli/Nomentano,54
II Parioli/Nomentano,50
VII San Giovanni/CinecittĂ ,77
I Centro Storico,112
V Prenestino/Centocelle,48
I Centro Storico,85
VIII Appia Antica,36
XV Cassia/Flaminia,26
I Centro Storico,79
XI Arvalia/Portuense,55
I Centro Storico,78
VII San Giovanni/CinecittĂ ,35
VII San Giovanni/CinecittĂ ,40
II Parioli/Nomentano,121
I Centro Storico,90
I Centro Storico,240
XII Monte Verde,90
XII Monte Verde,48
V Prenestino/Centocelle,51
XIII Aurelia,74
V Prenestino/Centocelle,55
XIII Aurelia,75
I Centro Storico,318
I Centro Storico,125
XIII Aurelia,100
VII San Giovanni/CinecittĂ ,45
XII Monte Verde,45
IX Eur,64
XII Monte Verde,48
I Centro Storico,82
VII San Giovanni/CinecittĂ ,68
XI Arvalia/Portuense,34
V Prenestino/Centocelle,36
XIII Aurelia,101
V Prenestino/Centocelle,48
V Prenestino/Centocelle,85
V Prenestino/Centocelle,48
VIII Appia Antica,35
I Centro Storico,100
VII San Giovanni/CinecittĂ ,40
II Parioli/Nomentano,65
XIII Aurelia,70
I Centro Storico,99
VIII Appia Antica,150
II Parioli/Nomentano,106
VII San Giovanni/CinecittĂ ,45
II Parioli/Nomentano,45
XIII Aurelia,90
I Centro Storico,55
I Centro Storico,152
XII Monte Verde,65
V Prenestino/Centocelle,40
XII Monte Verde,40
I Centro Storico,54
I Centro Storico,85
XII Monte Verde,60
I Centro Storico,129
XII Monte Verde,70
XI Arvalia/Portuense,90
XII Monte Verde,79
I Centro Storico,110
XI Arvalia/Portuense,90
XI Arvalia/Portuense,95
I Centro Storico,90
I Centro Storico,50
VII San Giovanni/CinecittĂ ,25
I Centro Storico,95
I Centro Storico,90
VII San Giovanni/CinecittĂ ,35
I Centro Storico,78
IV Tiburtina,59
I Centro Storico,190
I Centro Storico,65
VIII Appia Antica,49
VII San Giovanni/CinecittĂ ,27
I Centro Storico,58
II Parioli/Nomentano,65
XI Arvalia/Portuense,27
X Ostia/Acilia,110
II Parioli/Nomentano,113
I Centro Storico,107
IV Tiburtina,63
I Centro Storico,121
XIII Aurelia,57
XIII Aurelia,45
I Centro Storico,39
XIV Monte Mario,46
XII Monte Verde,115
I Centro Storico,81
I Centro Storico,108
I Centro Storico,35
XIII Aurelia,90
I Centro Storico,110
I Centro Storico,67
I Centro Storico,46
I Centro Storico,49
I Centro Storico,67
I Centro Storico,85
VI Roma delle Torri,100
V Prenestino/Centocelle,50
XIII Aurelia,36
VII San Giovanni/CinecittĂ ,49
XII Monte Verde,94
II Parioli/Nomentano,75
I Centro Storico,33
XII Monte Verde,50
I Centro Storico,180
VII San Giovanni/CinecittĂ ,29
I Centro Storico,50
I Centro Storico,100
I Centro Storico,80
X Ostia/Acilia,75
XI Arvalia/Portuense,35
I Centro Storico,100
XII Monte Verde,75
I Centro Storico,91
I Centro Storico,54
I Centro Storico,45
VIII Appia Antica,38
IV Tiburtina,60
I Centro Storico,110
XIII Aurelia,38
VII San Giovanni/CinecittĂ ,50
I Centro Storico,73
I Centro Storico,63
XV Cassia/Flaminia,66
I Centro Storico,100
VII San Giovanni/CinecittĂ ,60
II Parioli/Nomentano,63
V Prenestino/Centocelle,48
I Centro Storico,100
XIII Aurelia,60
I Centro Storico,159
VII San Giovanni/CinecittĂ ,49
I Centro Storico,56
I Centro Storico,80
XIV Monte Mario,102
I Centro Storico,130
II Parioli/Nomentano,35
XIII Aurelia,89
XII Monte Verde,59
XII Monte Verde,60
II Parioli/Nomentano,36
I Centro Storico,80
