Model,Coefficients,R_squared,BIC,Training_RMSE,Test_RMSE
OLS M1,2,0.12594005133164776,138642.44259822773,49.64775885747573,49.63444935922683
OLS M2,31,0.26274048200436284,136701.24232797546,45.597311082572254,45.702778354989
OLS M3,57,0.3237695358760033,135822.6506914078,43.669317509842145,43.91518512125131
OLS M4,129,0.3561309539783537,135866.35730014107,42.61159710726735,43.068551988412715
OLS M5,380,0.38122550419611434,137726.80944749515,41.77295913552181,43.14609412061457
LASSO M5,212,0.3436237049405532,NA,NA,43.029032035410545
